SiteID,DO.sat,Residence_time,Alk.mg.L,pH,NOx.ug.N.L,Elevation,b.f.max,SedimentCN,DIN.ug.N.L,Conductivity,CO2.uM,CH4.uM,delI18O,Salinity_code,Landuse,CEC,KSAT
7B,79.2,0.258567291,128.58,8.43,27.9,535.5,0.002921614,9.196351188,107.9,820,26.31190073,0.54544792,-17.30122492,M,Livestock,10,39.7
7A,98.5,0.690665047,194.84,9.28,9.67,NA,0.006004767,8.542885847,99.67,1004,4.446528088,2.18757739,-14.66464861,NA,Pasture,NA,NA
7I,48,0.730864945,384.38,9.37,272.38,540,0.003126534,10.60377455,592.38,1157,6.096413943,11.92439125,-10.19642024,W,Crop,28,2.13
30A,60,0.304347865,242.1,7.86,3.44,603,0.001469429,9.588669558,33.44,623,97.62726505,1.404949547,-13.43163216,W,Crop,40,0.34
30B,277.9,0.739010643,174.5,9.61,129.92,590,0.004815617,9.049153636,319.92,634,3.195687538,5.885133824,-18.52558434,W,Crop,40,0.34
60A,90.2,0.547093627,126.49,8.29,211.79,539,0.001820588,8.909063589,1521.79,339.7,34.68468,3.705245776,-13.98437354,W,Livestock,13,26.96
60B,103.9,1.570108723,72.34,9.79,39.45,536,0.001895772,8.997886487,109.45,189.8,2.348351875,1.24887127,-13.89986971,W,Livestock,13,26.96
60C,278.3,1.401908317,618.13,9.36,146.41,547,0.011404392,9.816304996,466.41,980,9.403720926,1.036287074,-13.31383986,M,Livestock,10,39.7
57D,42.7,1.743244753,174.65,9.29,57.96,728,0.001530927,10.5417636,147.96,467,5.312407967,1.71881279,-13.36337781,N,Livestock,27,2.18
57C,43.7,1.515931605,135.16,8.86,51.15,724,0.001576609,10.14643541,151.15,414.1,10.5288335,1.749896727,-11.84097688,N,Livestock,27,2.18
57B,104.1,0.549078031,285.93,9.09,20.45,729,0.003112521,12.91228715,140.45,636,10.16744187,13.11632305,-11.25693319,N,Livestock,18,16.14
57A,70,1.448975807,117.49,7.99,35.02,729,0.006656797,11.04069579,105.02,367,43.11950446,0.308830643,-18.55032901,N,Livestock,18,16.14
59B,104.8,1.432435309,70.99,9.59,15.25,566.9,0.006259143,11.15789238,65.25,136.1,2.381926763,0.671572774,-18.63370106,W,Livestock,22,23.25
59A,94.5,0.75472903,99.56,8.31,480.01,567,0.002693508,8.926982847,540.01,228.8,20.16708818,5.162744606,-18.21502424,N,Livestock,21,7.4
59D,114.7,2.508281809,357.46,8.41,1060,569,0.001655549,11.62107795,5000,684,45.9743033,1.345349556,-18.11022279,W,Livestock,15,26.96
44A,92.1,1.967102712,95.51,8.71,11.33,618,0.000359771,8.870703962,51.33,363.2,7.187929115,0.19406355,-14.87507237,W,Crop,27,2.18
44B,65.2,0.784876959,231.93,8.49,8.89,631,0.005436849,10.32213631,78.89,1212,23.22595041,0.819246843,-13.81543116,M,Crop,22,5.77
58A,89.7,1.154801549,639.52,8.52,44.13,569,0.008215387,10.81958571,134.13,2814,59.64329242,0.262465384,-13.41499944,W,Livestock,15,26.96
58B,56.9,1.001558313,308.26,8.81,303.57,575,0.002333419,12.46753349,693.57,706,15.94719583,14.46601182,-15.07792806,W,Livestock,21,7.4
58C,59.5,0.783419478,138.75,8.59,18.77,573,0.001644349,9.79472485,758.77,457.4,16.46890083,23.03328812,-15.06768263,W,Livestock,21,7.4
4H,87.7,0.76356407,156.85,8.29,42.53,573,0.000939132,10.74827126,102.53,501,37.77854897,5.046702445,-12.40226164,W,Crop,40,0.34
5,43.6,1.781818578,322.57,8.07,26.84,484,0,9.146146689,106.84,3239,90.91635025,0.324726012,-8.759020724,M,Livestock,21,7.4
74A,71.8,0.959358426,316.89,7.84,302.05,491,0.005243616,13.24859322,332.05,783,188.4591494,3.559583972,-11.84158113,M,Livestock,180,30
74B,93.4,0.213979492,262.3,8.52,12.22,495,0.005351096,11.90708037,42.22,683,30.23547081,4.65863345,-11.57452646,W,Livestock,15,26.96
74C,108,NA,139.8,9.19,39.02,494,0.004362381,10.68546848,129.02,617,5.347568014,1.711564486,NA,W,Livestock,15,26.96
10C,82.3,2.215109041,112.55,8.88,19.83,NA,0,10.05848509,99.83,1049,5.083900325,0.557374977,-15.3623451,NA,Livestock,NA,NA
10D,115.5,0.520723695,119.9,9.69,NA,532,NA,9.225346015,NA,3569,1.922347024,0.290322154,-9.769697473,S,Livestock,21,9.5
10A,48.5,0.437214862,248.22,7.88,21.1,533,0.00037,10.5964966,261.1,738,108.6578351,3.16858958,-13.73948368,M,Pasture,24,5.39
10B,96.2,0.719824524,163.43,9.3,5.48,533,0.003389095,10.27953831,95.48,1313,3.262369455,0.992346735,-8.398032688,M,Pasture,24,5.39
